Feature,Type
AGER_TYP,nominal
ALTERSKATEGORIE_GROB,ordinal
ALTER_HH,ordinal
ANREDE_KZ,nominal
ANZ_HAUSHALTE_AKTIV,numeric
ANZ_HH_TITEL,numeric
ANZ_PERSONEN,numeric
ANZ_TITEL,numeric
BALLRAUM,ordinal
BIP_FLAG,nominal
CAMEO_DEUG_2015,ordinal
CAMEO_DEU_2015,nominal
CAMEO_DEUINTL_2015,ordinal
CJT_GESAMTTYP,nominal
D19_BANKEN_ANZ_12,ordinal
D19_BANKEN_ANZ_24,ordinal
D19_BANKEN_DATUM,ordinal
D19_BANKEN_DIREKT_RZ,ordinal
D19_BANKEN_GROSS_RZ,ordinal
D19_BANKEN_LOKAL_RZ,ordinal
D19_BANKEN_OFFLINE_DATUM,ordinal
D19_BANKEN_ONLINE_DATUM,ordinal
D19_BANKEN_ONLINE_QUOTE_12,ordinal
D19_BANKEN_REST_RZ,ordinal
D19_BEKLEIDUNG_GEH_RZ,ordinal
D19_BEKLEIDUNG_REST_RZ,ordinal
D19_BILDUNG_RZ,ordinal
D19_BIO_OEKO_RZ,ordinal
D19_BUCH_RZ,ordinal
D19_DIGIT_SERV_RZ,ordinal
D19_DROGERIEARTIKEL_RZ,ordinal
D19_ENERGIE_RZ,ordinal
D19_FREIZEIT_RZ,ordinal
D19_GARTEN_RZ,ordinal
D19_GESAMT_ANZ_12,ordinal
D19_GESAMT_ANZ_24,ordinal
D19_GESAMT_DATUM,ordinal
D19_GESAMT_OFFLINE_DATUM,ordinal
D19_GESAMT_ONLINE_DATUM,ordinal
D19_GESAMT_ONLINE_QUOTE_12,ordinal
D19_HANDWERK_RZ,ordinal
D19_HAUS_DEKO_RZ,ordinal
D19_KINDERARTIKEL_RZ,ordinal
D19_KONSUMTYP,nominal
D19_KK_KUNDENTYP,ordinal
D19_KOSMETIK_RZ,ordinal
D19_LEBENSMITTEL_RZ,ordinal
D19_LOTTO_RZ,ordinal
D19_NAHRUNGSERGAENZUNG_RZ,ordinal
D19_RATGEBER_RZ,ordinal
D19_REISEN_RZ,ordinal
D19_SAMMELARTIKEL_RZ,ordinal
D19_SCHUHE_RZ,ordinal
D19_SONSTIGE_RZ,ordinal
D19_TECHNIK_RZ,ordinal
D19_TELKO_ANZ_12,ordinal
D19_TELKO_ANZ_24,ordinal
D19_TELKO_DATUM,ordinal
D19_TELKO_MOBILE_RZ,ordinal
D19_TELKO_OFFLINE_DATUM,ordinal
D19_TELKO_ONLINE_DATUM,ordinal
D19_TELKO_REST_RZ,ordinal
D19_TIERARTIKEL_RZ,ordinal
D19_VERSAND_ANZ_12,ordinal
D19_VERSAND_ANZ_24,ordinal
D19_VERSAND_DATUM,ordinal
D19_VERSAND_OFFLINE_DATUM,ordinal
D19_VERSAND_ONLINE_DATUM,ordinal
D19_VERSAND_ONLINE_QUOTE_12,ordinal
D19_VERSAND_REST_RZ,ordinal
D19_VERSICHERUNGEN_RZ,ordinal
D19_VERSI_ANZ_12,ordinal
D19_VERSI_ANZ_24,ordinal
D19_VOLLSORTIMENT_RZ,ordinal
D19_WEIN_FEINKOST_RZ,ordinal
EWDICHTE,ordinal
FINANZTYP,nominal
FINANZ_ANLEGER,ordinal
FINANZ_HAUSBAUER,ordinal
FINANZ_MINIMALIST,ordinal
FINANZ_SPARER,ordinal
FINANZ_UNAUFFAELLIGER,ordinal
FINANZ_VORSORGER,ordinal
GEBAEUDETYP,nominal
GEBAEUDETYP_RASTER,nominal
GEBURTSJAHR,numeric
GFK_URLAUBERTYP,nominal
GEOSCORE_KLS7,ordinal
GREEN_AVANTGARDE,nominal
HAUSHALTSSTRUKTUR,nominal
HEALTH_TYP,nominal
HH_EINKOMMEN_SCORE,ordinal
INNENSTADT,ordinal
KBA05_ALTER1,ordinal
KBA05_ALTER2,ordinal
KBA05_ALTER3,ordinal
KBA05_ALTER4,ordinal
KBA05_ANHANG,ordinal
KBA05_ANTG1,ordinal
KBA05_ANTG2,ordinal
KBA05_ANTG3,ordinal
KBA05_ANTG4,ordinal
KBA05_AUTOQUOT,ordinal
KBA05_BAUMAX,nominal
KBA05_CCM1,ordinal
KBA05_CCM2,ordinal
KBA05_CCM3,ordinal
KBA05_CCM4,ordinal
KBA05_DIESEL,ordinal
KBA05_FRAU,ordinal
KBA05_GBZ,ordinal
KBA05_HERST1,ordinal
KBA05_HERST2,ordinal
KBA05_HERST3,ordinal
KBA05_HERST4,ordinal
KBA05_HERST5,ordinal
KBA05_HERSTTEMP,ordinal
KBA05_KRSAQUOT,ordinal
KBA05_KRSHERST1,ordinal
KBA05_KRSHERST2,ordinal
KBA05_KRSHERST3,ordinal
KBA05_KRSKLEIN,ordinal
KBA05_KRSOBER,ordinal
KBA05_KRSVAN,ordinal
KBA05_KRSZUL,ordinal
KBA05_KW1,ordinal
KBA05_KW2,ordinal
KBA05_KW3,ordinal
KBA05_MAXAH,ordinal
KBA05_MAXBJ,ordinal
KBA05_MAXHERST,nominal
KBA05_MAXSEG,ordinal
KBA05_MAXVORB,nominal
